source,target,rela,type,tvalue,id
JS00001,JS00006,衍生,resolved,10,0
JS00008,JS00006,替代,resolved,10,1
JS00009,JS00006,等同,resolved,10,2
JS00010,JS00006,等同,resolved,10,3
JS00001,JS00007,衍生,resolved,12,4
JS00009,JS00007,替代,resolved,12,5
JS00006,JS00007,用于,resolved,12,6
JS00010,JS00007,用到,resolved,12,7
JS00001,JS00008,衍生,resolved,8,8
JS00007,JS00008,用于,resolved,8,9
JS00010,JS00008,用到,resolved,8,10
JS00004,JS00009,衍生,resolved,6,11
JS00007,JS00009,替代,resolved,6,12
JS00006,JS00009,等同,resolved,6,13
JS00004,JS00010,衍生,resolved,11,14
JS00009,JS00010,用到,resolved,11,15
JS00008,JS00010,基础,resolved,11,16
JS00006,JS10001,衍生,resolved,1,17
JS00006,JS10002,衍生,resolved,1,18
JS00006,JS10003,衍生,resolved,1,19
JS00006,JS10004,衍生,resolved,1,20
JS00007,JS10008,衍生,resolved,1,21
JS00007,JS10009,衍生,resolved,1,22
JS00007,JS10010,衍生,resolved,1,23
JS00007,JS10011,衍生,resolved,1,24
JS00007,JS10012,衍生,resolved,1,25
JS00007,JS10013,衍生,resolved,1,26
JS00008,JS10015,衍生,resolved,1,27
JS00008,JS10016,衍生,resolved,1,28
JS00008,JS10017,衍生,resolved,1,29
JS00010,JS40001,衍生,resolved,1,30
JS00010,JS40002,衍生,resolved,1,31
JS00010,JS40003,衍生,resolved,1,32
JS00010,JS40004,衍生,resolved,1,33
JS00010,JS40005,衍生,resolved,1,34
JS00005,JS00001,等同,resolved,7,35
JS00004,JS00001,替代,resolved,7,36
JS00001,JS00005,基础,resolved,6,37
JS00004,JS00005,替代,resolved,6,38
JS00003,JS00002,基础,resolved,5,39
JS00001,JS00002,基础,resolved,5,40
JS00004,JS00002,替代,resolved,5,41
JS00005,JS00002,用于,resolved,5,42
JS00005,JS00003,等同,resolved,3,43
JS00002,JS00003,替代,resolved,3,44
JS00005,JS00004,用于,resolved,6,45
