name,id,group,value
机载传感器数据采集技术,JS10001,专用技术,1
机载系统数据接口/数据链系统技术,JS10002,专用技术,1
维修保障设备系统数据接口技术,JS10003,通用技术,1
网络数据获取技术,JS10004,通用技术,1
数据总线技术,JS10008,通用技术,1
网络服务接口,JS10009,通用技术,1
数据库接口,JS10010,通用技术,1
数据库视图,JS10011,通用技术,1
文件传输交换,JS10012,通用技术,1
通信协议和报文通信,JS10013,专用技术,1
数据抽取技术,JS10015,通用技术,1
数据转换技术,JS10016,通用技术,1
数据加载技术,JS10017,通用技术,1
静态图表技术,JS40001,通用技术,1
文本可视化技术,JS40002,通用技术,1
图结构可视化技术,JS40003,通用技术,1
多维数据可视化技术,JS40004,通用技术,1
交互可视化技术,JS40005,通用技术,1
航空数据采集交换技术,JS00001,通用技术,7
航空数据集成处理技术,JS00002,通用技术,5
航空数据分析挖掘技术,JS00003,通用技术,3
航空数据应用展示技术,JS00004,通用技术,6
航空数据平台与框架技术,JS00005,通用技术,6
数据采集技术,JS00006,通用技术,10
数据交换技术,JS00007,通用技术,12
数据预处理技术,JS00008,通用技术,8
航空数据应用技术,JS00009,通用技术,6
航空数据可视化技术,JS00010,通用技术,11
